ID,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
89,BMW,535i xDRIVE,MID-SIZE,3.0,6,AS8,Z,11.9,8.1,10.2,28,238
90,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Z,11.1,8.4,9.9,29,231
91,FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.0,,10.6,27,249
92,SUBARU,Legacy AWD,MID-SIZE,2.5,4,AV7,X,9.3,,8.2,34,193
93,MAZDA,MAZDA5,MINIVAN,2.5,4,M6,X,11.1,8.3,9.8,29,229
94,BMW,M4 Cabriolet Competition,SUBCOMPACT,3.0,6,M6,Z,13.8,9.4,11.9,24,280
95,FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,E,18.7,,16.3,17,271
96,AUDI,TT Coupe quattro,SUBCOMPACT,2.0,4,AM7,X,10.3,7.7,9.2,31,213
97,PORSCHE,CAYENNE DIESEL (modified),SUV - STANDARD,3.0,6,A8,D,11.2,8.4,,29,270
98,GMC,Canyon,PICKUP TRUCK - SMALL,2.8,4,A6,D,11.8,7.9,10.1,28,270
99,FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.5,10.6,12.7,22,299
100,SMART,FORTWO CABRIOLET,TWO-SEATER,1.0,3,AM5,Z,6.9,5.7,6.4,44,147
101,TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,M5,X,12.4,,11.9,24,279
102,VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M5,X,9.9,7.2,8.7,32,200
103,KIA,FORTE,MID-SIZE,1.8,4,AS6,X,8.8,6.1,7.6,37,175
104,BMW,M240i Coupe M Performance,SUBCOMPACT,3.0,6,M6,Z,12.7,8.8,10.9,26,255
105,HYUNDAI,SONATA,FULL-SIZE,2.4,4,AS6,X,9.4,6.7,8.2,34,194
106,BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,AS8,Z,13.0,8.9,11.1,25,255
107,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.1,11.4,14.0,20,322
108,MERCEDES-BENZ,S 600,FULL-SIZE,6.0,12,AS7,Z,17.3,11.0,14.5,19,340
109,BMW,328i xDRIVE,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209
110,FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,183
111,CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,7.5,38,173
112,MINI,COOPER S CLUBMAN,SUBCOMPACT,1.6,4,A6,Z,9.3,7.0,8.3,34,191
113,BMW,435i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,12.1,8.1,10.3,27,237
114,CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
115,MERCEDES-BENZ,SLC 300,TWO-SEATER,2.0,4,A9,Z,9.5,7.2,8.5,33,200
116,PORSCHE,Panamera GTS ST,FULL-SIZE,4.0,8,AM8,Z,15.7,10.5,13.4,21,313
117,BMW,M2,SUBCOMPACT,3.0,6,M6,Z,12.7,9.2,11.1,25,260
118,JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,M6,X,14.2,11.0,12.8,22,299
119,CHEVROLET,Traverse AWD,SUV - STANDARD,3.6,6,A9,X,13.6,9.6,11.8,24,276
120,HONDA,CIVIC SEDAN,MID-SIZE,1.5,4,AV,X,7.6,5.5,,42,157
121,PORSCHE,911 CARRERA GTS CABRIOLET,MINICOMPACT,3.0,6,AM7,Z,11.8,9.2,10.6,27,249
122,FORD,EDGE SPORT AWD,SUV - SMALL,2.7,6,AS6,X,13.6,9.8,11.9,24,274
123,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4,M6,Z,10.4,7.7,9.2,31,212
124,HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,M6,X,9.7,7.1,8.5,33,196
125,JAGUAR,XKR COUPE,MINICOMPACT,5.0,8,AS6,Z,15.6,,13.4,21,308
126,BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,13.7,9.1,11.7,24,273
127,FORD,FUSION AWD,MID-SIZE,2.0,4,AS6,X,11.8,8.2,10.2,28,238
128,FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,8.6,6.4,7.6,37,178
129,HONDA,ODYSSEY,MINIVAN,3.5,6,A6,X,12.3,8.5,10.6,27,250
130,JAGUAR,F-TYPE V8 S CONVERTIBLE,TWO-SEATER,5.0,8,AS8,Z,15.0,10.2,12.8,22,294
131,MITSUBISHI,LANCER,COMPACT,2.4,4,AV6,X,9.8,7.6,8.8,32,204
132,LEXUS,RC 300 AWD,SUBCOMPACT,3.5,6,AS6,Z,12.6,9.2,11.1,25,258
133,DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
134,DODGE,Durango AWD,SUV - STANDARD,3.6,6,A8,X,12.7,9.6,11.3,25,265
135,VOLKSWAGEN,JETTA,COMPACT,2.0,4,AS6,X,9.8,,8.7,32,205
136,NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,AS7,X,15.2,11.1,13.4,21,315
137,BMW,M6 COUPE,COMPACT,4.4,8,AM7,Z,17.3,,14.7,19,338
138,KIA,OPTIMA HYBRID,MID-SIZE,2.4,4,AS6,X,6.5,5.9,6.2,46,143
139,FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS6,X,16.8,11.8,14.5,19,341
140,TOYOTA,HIGHLANDER,SUV - SMALL,3.5,6,AS8,X,11.8,,10.3,27,243
141,FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,8.7,6.4,7.6,37,175
142,GMC,TERRAIN,SUV - SMALL,1.5,4,A9,X,9.2,7.9,8.6,33,201
143,BMW,430i xDRIVE COUPE,COMPACT,2.0,4,AS8,Z,10.2,7.2,8.9,32,208
144,VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M5,X,9.9,7.2,8.7,32,200
145,CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258
146,MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,9.1,6.8,8.1,35,186
147,MITSUBISHI,Outlander 4WD,SUV - SMALL,2.4,4,AV6,X,,8.1,9.1,31,212
148,LEXUS,GS 350,MID-SIZE,3.5,6,AS8,Z,12.3,8.5,10.6,27,244
149,BMW,M5 SEDAN,MID-SIZE,4.4,8,M6,Z,16.1,10.8,13.7,21,315
150,CADILLAC,CTS,MID-SIZE,2.0,4,AS8,Z,11.0,,9.5,30,221
151,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,20.7,14.3,17.9,16,286
152,MINI,Cooper 5 Door,SUBCOMPACT,1.5,3,M6,Z,8.4,6.3,7.5,38,175
153,FORD,Fiesta,SUBCOMPACT,1.6,4,AM6,X,8.6,6.4,7.6,37,178
154,TOYOTA,CAMRY,MID-SIZE,3.5,6,AS8,X,10.5,7.1,9.0,31,210
155,MINI,COOPER PACEMAN,COMPACT,1.6,4,A6,Z,9.4,7.9,8.7,32,200
156,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,6.1,7.0,40,161
157,CHEVROLET,Corvette,TWO-SEATER,6.2,8,M7,Z,14.6,9.3,12.2,23,286
158,MITSUBISHI,LANCER 4WD,COMPACT,2.4,4,AV6,X,10.2,7.9,9.2,31,212
159,INFINITI,Q50 AWD,MID-SIZE,3.7,6,AS7,Z,12.5,8.7,10.8,26,248
160,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
161,HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,10.3,7.2,8.9,32,207
162,FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
163,ACURA,TLX A-SPEC,COMPACT,2.4,4,AM8,Z,10.2,7.4,8.9,32,209
164,MERCEDES-BENZ,S 450 4MATIC SWB,MID-SIZE,3.0,6,A9,Z,12.8,8.5,10.8,26,253
165,DODGE,DART TURBO AERO,MID-SIZE,1.4,4,AM6,X,8.4,5.9,7.3,39,171
166,ACURA,RDX AWD,SUV - SMALL,2.0,4,AS10,Z,,8.6,9.9,29,232
167,MERCEDES-BENZ,CLS 550 4MATIC,COMPACT,4.7,8,AS7,Z,14.5,10.1,12.5,23,288
168,ACURA,TSX,COMPACT,3.5,6,AS5,Z,,8.3,10.4,27,239
169,JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,M5,X,10.6,8.7,9.8,29,230
170,VOLKSWAGEN,JETTA,COMPACT,1.4,4,M5,X,8.3,5.9,7.2,39,168
171,TOYOTA,Camry,MID-SIZE,3.5,6,AS8,X,10.5,7.1,9.0,31,210
172,MERCEDES-BENZ,SL 450,TWO-SEATER,3.0,6,A9,Z,11.5,8.4,10.1,28,237
173,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,AS8,Z,14.7,9.7,12.5,23,292
174,JAGUAR,F-TYPE R COUPE AWD,TWO-SEATER,5.0,8,AS6,Z,15.6,10.4,13.3,21,311
175,CADILLAC,CT6 AWD,FULL-SIZE,3.6,6,AS10,X,12.9,8.7,11.0,26,259
176,BENTLEY,CONTINENTAL GT3-R,TWO-SEATER,4.0,8,AS8,Z,17.6,10.1,14.2,20,327
177,JEEP,Cherokee,SUV - SMALL,2.4,4,A9,X,10.8,7.6,9.3,30,219
178,FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,E,21.4,17.2,19.5,14,325
179,BMW,330i xDRIVE,COMPACT,2.0,4,AS8,Z,10.5,7.4,,31,213
180,CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,AS8,X,12.3,8.2,10.4,27,246
181,ROLLS-ROYCE,Ghost EWB,FULL-SIZE,6.6,12,AS8,Z,20.4,13.1,17.1,17,400
182,NISSAN,MAXIMA,MID-SIZE,3.5,6,AV7,Z,11.1,7.8,9.6,29,227
183,CHEVROLET,Colorado,PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,,11.7,24,273
184,LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,12.6,9.2,11.0,26,258
185,LAMBORGHINI,Huracan Coupe AWD,TWO-SEATER,5.2,10,AM7,Z,17.9,13.0,15.7,18,370
186,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322
187,VOLVO,S60 T5 AWD,COMPACT,2.0,4,AS8,X,10.7,7.8,9.4,30,219
188,FIAT,500 CABRIO,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182
189,GMC,Yukon XL FFV,SUV - STANDARD,5.3,8,A6,E,21.2,13.9,17.9,16,298
190,JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,A6,X,11.7,9.1,10.5,27,248
191,FORD,EDGE,SUV - SMALL,3.5,6,AS6,X,13.2,9.0,11.3,25,260
192,HONDA,ACCORD SEDAN,MID-SIZE,2.4,4,AV,X,8.7,6.6,7.8,36,180
193,AUDI,Q3 QUATTRO,COMPACT,2.0,4,AS6,Z,11.9,8.4,10.3,27,240
194,LINCOLN,NAVIGATOR L 4X4,SUV - STANDARD,3.5,6,AS6,X,16.1,12.4,14.5,19,339
195,MERCEDES-BENZ,AMG C 63 S Cabriolet,SUBCOMPACT,4.0,8,A9,Z,13.9,9.7,12.0,24,282
196,BMW,340i,COMPACT,3.0,6,M6,Z,,8.2,10.4,27,242
197,VOLKSWAGEN,TOUAREG TDI (modified),SUV - STANDARD,3.0,6,AS8,D,11.8,,10.2,28,277
198,ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12,AS8,Z,20.0,12.6,16.7,17,390
199,FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,,10.5,12.6,22,295
200,PORSCHE,Panamera 4S ST,FULL-SIZE,2.9,6,AM8,Z,13.1,9.8,11.6,24,273
201,MAZDA,MAZDA6 TURBO,MID-SIZE,2.5,4,AS6,X,10.0,7.5,8.9,32,208
202,GMC,Canyon,PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,9.6,11.7,24,274
203,INFINITI,Q60 AWD Red Sport,SUBCOMPACT,3.0,6,AS7,Z,12.5,9.2,11.0,26,259
204,LAMBORGHINI,AVENTADOR S COUPE,TWO-SEATER,6.5,12,AM7,Z,23.8,14.1,19.4,15,454
205,AUDI,R8,TWO-SEATER,5.2,10,AM7,Z,16.0,9.5,13.1,22,304
206,TOYOTA,COROLLA LE ECO (2-mode),MID-SIZE,1.8,4,AV,X,8.0,6.3,7.2,39,168
207,TOYOTA,RAV4,SUV - SMALL,2.5,4,AS8,X,8.8,6.7,7.8,36,183
208,KIA,SOUL ECO DYNAMICS,STATION WAGON - SMALL,2.0,4,AS6,X,9.7,7.7,8.8,32,208
209,MERCEDES-BENZ,E 400 COUPE,SUBCOMPACT,3.5,6,AS7,Z,11.8,8.3,10.2,28,235
210,GMC,Canyon 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,12.2,8.4,10.5,27,283
211,GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,X,,10.4,12.7,22,298
212,CHEVROLET,SPARK,SUBCOMPACT,1.4,4,AV,X,7.6,5.7,6.7,42,157
213,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.0,15.1,17.8,16,285
214,CHEVROLET,EQUINOX AWD,SUV - SMALL,1.6,4,A6,D,8.5,6.1,7.4,38,198
215,GMC,TERRAIN,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209
216,PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6,M7,Z,12.6,8.9,11.0,26,253
217,BMW,435i COUPE,COMPACT,3.0,6,AS8,Z,11.4,7.4,9.6,29,221
218,PORSCHE,911 Carrera 4S Cabriolet,MINICOMPACT,3.0,6,AM8,Z,13.1,10.2,11.8,24,277
219,LAMBORGHINI,HURACAN,TWO-SEATER,5.2,10,AM7,Z,16.8,11.4,14.4,20,336
220,TOYOTA,Tacoma 4WD,PICKUP TRUCK - SMALL,3.5,6,M6,X,13.8,11.4,12.7,22,299
221,AUDI,S4,COMPACT,3.0,6,AS8,Z,11.3,8.0,9.8,29,230
222,PORSCHE,911 Carrera GTS Cabriolet,MINICOMPACT,3.0,6,AM7,Z,11.8,,10.7,26,249
223,BMW,640i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,AS8,Z,11.9,8.4,10.3,27,241
224,MERCEDES-BENZ,G 550,SUV - STANDARD,4.0,8,A9,Z,18.0,14.1,16.3,17,378
225,FIAT,124 SPIDER,TWO-SEATER,1.4,4,M6,X,9.0,6.7,7.9,36,185
226,MINI,COOPER COUNTRYMAN ALL4,MID-SIZE,1.5,3,AS8,Z,10.3,7.9,9.2,31,215
227,NISSAN,Qashqai,STATION WAGON - SMALL,2.0,4,M6,X,10.1,8.1,9.2,31,217
228,MERCEDES-BENZ,AMG S 63 4MATIC,FULL-SIZE,5.5,8,AS7,Z,15.7,10.1,13.2,21,313
229,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,AM6,X,10.1,7.8,9.1,31,209
230,BMW,X4 M40i,SUV - SMALL,3.0,6,AS8,Z,11.3,8.7,10.1,28,235
231,MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4,AS6,X,7.9,5.7,6.9,41,159
232,MAZDA,CX-5,SUV - SMALL,2.5,4,AS6,X,9.8,7.7,8.6,33,204
233,TOYOTA,RAV4 AWD,SUV - SMALL,2.5,4,AS8,X,9.2,7.1,8.3,34,190
234,PORSCHE,911 CARRERA 4S,MINICOMPACT,3.0,6,AM7,Z,11.0,8.5,9.9,29,232
235,MERCEDES-BENZ,AMG GLE 43 4MATIC Coupe,SUV - STANDARD,3.0,6,A9,Z,14.1,10.9,12.6,22,297
236,PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6,AM7,Z,11.9,8.7,10.5,27,242
237,AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Z,9.9,8.3,9.2,31,212
238,HYUNDAI,Venue,MID-SIZE,1.6,4,AV,X,8.0,7.0,7.5,38,178
239,HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,M6,X,9.4,7.2,8.4,34,200
240,FORD,FOCUS FFV,COMPACT,2.0,4,AS6,E,12.4,9.1,10.9,26,182
241,LEXUS,RC 300 AWD,SUBCOMPACT,3.5,6,AS6,Z,13.1,9.8,11.2,25,262
242,BMW,M240i Coupe,SUBCOMPACT,3.0,6,M6,Z,12.8,8.8,11.0,26,256
243,MERCEDES-BENZ,AMG E 63 S 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8,AS7,Z,15.2,11.0,13.3,21,310
244,PORSCHE,CAYENNE GTS,SUV - STANDARD,3.6,6,A8,Z,14.5,10.4,12.6,22,296
245,MERCEDES-BENZ,AMG GLE 63 S 4MATIC,SUV - STANDARD,4.7,8,A7,Z,17.7,13.4,15.8,18,370
246,PORSCHE,Panamera 4,FULL-SIZE,3.0,6,AM8,Z,12.4,9.0,10.9,26,253
247,INFINITI,Q50 AWD Red Sport,MID-SIZE,3.0,6,AS7,Z,12.5,9.3,11.1,25,261
